ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2
Wvlgth nm,Etr W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1
653.0,1.5980E+00,1.4311E+00,1.2950E+00
654.0,1.5750E+00,1.4153E+00,1.2807E+00
655.0,1.5230E+00,1.3499E+00,1.2220E+00
656.0,1.3233E+00,1.1851E+00,1.0727E+00
657.0,1.3840E+00,1.2393E+00,1.1218E+00
658.0,1.5390E+00,1.3855E+00,1.2540E+00
659.0,1.5420E+00,1.3905E+00,1.2586E+00
660.0,1.5580E+00,1.3992E+00,1.2668E+00
661.0,1.5660E+00,1.3933E+00,1.2618E+00
662.0,1.5710E+00,1.3819E+00,1.2518E+00
663.0,1.5630E+00,1.3844E+00,1.2539E+00
664.0,1.5540E+00,1.3967E+00,1.2647E+00
665.0,1.5670E+00,1.4214E+00,1.2871E+00
666.0,1.5550E+00,1.4203E+00,1.2860E+00
667.0,1.5354E+00,1.4102E+00,1.2767E+00
668.0,1.5348E+00,1.4150E+00,1.2810E+00
669.0,1.5580E+00,1.4394E+00,1.3032E+00
670.0,1.5340E+00,1.4196E+00,1.2853E+00
671.0,1.5290E+00,1.4169E+00,1.2829E+00
672.0,1.5060E+00,1.3972E+00,1.2651E+00
673.0,1.5170E+00,1.4094E+00,1.2760E+00
674.0,1.5130E+00,1.4074E+00,1.2742E+00
675.0,1.4990E+00,1.3958E+00,1.2639E+00
676.0,1.5150E+00,1.4120E+00,1.2786E+00
677.0,1.5000E+00,1.3991E+00,1.2669E+00
678.0,1.5070E+00,1.4066E+00,1.2737E+00
679.0,1.4930E+00,1.3947E+00,1.2629E+00
680.0,1.4940E+00,1.3969E+00,1.2650E+00
681.0,1.4870E+00,1.3915E+00,1.2601E+00
682.0,1.4930E+00,1.3981E+00,1.2662E+00
683.0,1.4760E+00,1.3830E+00,1.2526E+00
684.0,1.4660E+00,1.3739E+00,1.2445E+00
685.0,1.4650E+00,1.3748E+00,1.2454E+00
686.0,1.4330E+00,1.3438E+00,1.2174E+00
687.0,1.4720E+00,9.6824E-01,8.8285E-01
688.0,1.4760E+00,1.1206E+00,1.0195E+00
689.0,1.4780E+00,1.1278E+00,1.0260E+00
690.0,1.4790E+00,1.1821E+00,1.0746E+00
691.0,1.4680E+00,1.2333E+00,1.1201E+00
692.0,1.4540E+00,1.2689E+00,1.1516E+00
693.0,1.4580E+00,1.2609E+00,1.1446E+00
694.0,1.4570E+00,1.2464E+00,1.1318E+00
695.0,1.4350E+00,1.2714E+00,1.1538E+00
696.0,1.4420E+00,1.2684E+00,1.1513E+00
697.0,1.4380E+00,1.3403E+00,1.2151E+00
698.0,1.4170E+00,1.3192E+00,1.1961E+00
699.0,1.4340E+00,1.2918E+00,1.1721E+00
700.0,1.4220E+00,1.2823E+00,1.1636E+00
701.0,1.4131E+00,1.2659E+00,1.1489E+00
702.0,1.3987E+00,1.2674E+00,1.1500E+00
703.0,1.4095E+00,1.2747E+00,1.1567E+00
704.0,1.4187E+00,1.3078E+00,1.1864E+00
705.0,1.4330E+00,1.3214E+00,1.1989E+00
706.0,1.4138E+00,1.3144E+00,1.1925E+00
707.0,1.4040E+00,1.3090E+00,1.1875E+00
708.0,1.3990E+00,1.3048E+00,1.1839E+00
709.0,1.3900E+00,1.3095E+00,1.1880E+00
710.0,1.4040E+00,1.3175E+00,1.1954E+00
711.0,1.3970E+00,1.3155E+00,1.1934E+00
712.0,1.3818E+00,1.3071E+00,1.1856E+00
713.0,1.3702E+00,1.2918E+00,1.1719E+00
714.0,1.3819E+00,1.3029E+00,1.1823E+00
715.0,1.3502E+00,1.2587E+00,1.1428E+00
716.0,1.3694E+00,1.2716E+00,1.1548E+00
717.0,1.3650E+00,1.1071E+00,1.0081E+00
718.0,1.3570E+00,1.0296E+00,9.3873E-01
719.0,1.3010E+00,9.2318E-01,8.4274E-01
720.0,1.3487E+00,9.8550E-01,8.9940E-01
721.0,1.3480E+00,1.0861E+00,9.8967E-01
722.0,1.3600E+00,1.2407E+00,1.1281E+00
723.0,1.3510E+00,1.1444E+00,1.0423E+00
724.0,1.3607E+00,1.0555E+00,9.6305E-01
725.0,1.3465E+00,1.0380E+00,9.4741E-01
726.0,1.3429E+00,1.0813E+00,9.8638E-01
727.0,1.3444E+00,1.0850E+00,9.8988E-01
728.0,1.3370E+00,1.0400E+00,9.4968E-01
729.0,1.2796E+00,1.0466E+00,9.5503E-01
730.0,1.3357E+00,1.1285E+00,1.0294E+00
731.0,1.3104E+00,1.0703E+00,9.7702E-01
732.0,1.3333E+00,1.1534E+00,1.0520E+00
733.0,1.3108E+00,1.1962E+00,1.0901E+00
734.0,1.3390E+00,1.2357E+00,1.1261E+00
735.0,1.3271E+00,1.2178E+00,1.1101E+00
736.0,1.3100E+00,1.2059E+00,1.0994E+00
737.0,1.3120E+00,1.2039E+00,1.0978E+00
738.0,1.3000E+00,1.2269E+00,1.1184E+00
739.0,1.2646E+00,1.1905E+00,1.0855E+00
740.0,1.2830E+00,1.2195E+00,1.1119E+00
741.0,1.2707E+00,1.2148E+00,1.1078E+00
742.0,1.2649E+00,1.2153E+00,1.1084E+00
743.0,1.2892E+00,1.2405E+00,1.1316E+00
744.0,1.2955E+00,1.2503E+00,1.1408E+00
745.0,1.2920E+00,1.2497E+00,1.1404E+00
746.0,1.2892E+00,1.2470E+00,1.1381E+00
747.0,1.2890E+00,1.2477E+00,1.1389E+00
748.0,1.2808E+00,1.2401E+00,1.1323E+00
749.0,1.2760E+00,1.2357E+00,1.1286E+00
750.0,1.2740E+00,1.2341E+00,1.1273E+00
751.0,1.2680E+00,1.2286E+00,1.1224E+00
752.0,1.2720E+00,1.2330E+00,1.1265E+00
753.0,1.2650E+00,1.2266E+00,1.1210E+00
754.0,1.2809E+00,1.2420E+00,1.1353E+00
755.0,1.2771E+00,1.2383E+00,1.1321E+00
756.0,1.2610E+00,1.2232E+00,1.1185E+00
757.0,1.2598E+00,1.2221E+00,1.1176E+00
758.0,1.2680E+00,1.2295E+00,1.1246E+00
759.0,1.2500E+00,1.1945E+00,1.0932E+00
760.0,1.2590E+00,2.6604E-01,2.4716E-01
761.0,1.2487E+00,1.5396E-01,1.4328E-01
762.0,1.2460E+00,6.8766E-01,6.3491E-01
763.0,1.2543E+00,3.7952E-01,3.5217E-01
764.0,1.2566E+00,5.3878E-01,4.9885E-01
765.0,1.2452E+00,6.8601E-01,6.3377E-01
766.0,1.2000E+00,8.1461E-01,7.5080E-01
767.0,1.2120E+00,9.7417E-01,8.9574E-01
768.0,1.2310E+00,1.1138E+00,1.0222E+00
769.0,1.2142E+00,1.1278E+00,1.0347E+00
770.0,1.2146E+00,1.1608E+00,1.0646E+00
771.0,1.2073E+00,1.1686E+00,1.0716E+00
772.0,1.2120E+00,1.1778E+00,1.0802E+00
773.0,1.2100E+00,1.1771E+00,1.0797E+00
774.0,1.2090E+00,1.1771E+00,1.0800E+00
775.0,1.2080E+00,1.1771E+00,1.0801E+00
776.0,1.2102E+00,1.1798E+00,1.0827E+00
777.0,1.2028E+00,1.1727E+00,1.0764E+00
778.0,1.2014E+00,1.1713E+00,1.0754E+00
779.0,1.2067E+00,1.1765E+00,1.0803E+00
780.0,1.1930E+00,1.1636E+00,1.0687E+00
781.0,1.1898E+00,1.1607E+00,1.0662E+00
782.0,1.1950E+00,1.1662E+00,1.0714E+00
783.0,1.1896E+00,1.1614E+00,1.0672E+00
784.0,1.1810E+00,1.1536E+00,1.0602E+00
785.0,1.1874E+00,1.1586E+00,1.0649E+00
786.0,1.1890E+00,1.1592E+00,1.0656E+00
787.0,1.1877E+00,1.1450E+00,1.0530E+00
788.0,1.1800E+00,1.1305E+00,1.0399E+00
789.0,1.1812E+00,1.1257E+00,1.0359E+00
790.0,1.1704E+00,1.0910E+00,1.0045E+00
791.0,1.1632E+00,1.1058E+00,1.0179E+00
792.0,1.1500E+00,1.0953E+00,1.0084E+00
793.0,1.1449E+00,1.0875E+00,1.0015E+00
794.0,1.1260E+00,1.0972E+00,1.0101E+00
795.0,1.1280E+00,1.0932E+00,1.0066E+00
796.0,1.1427E+00,1.0742E+00,9.8985E-01
797.0,1.1580E+00,1.0913E+00,1.0057E+00
798.0,1.1501E+00,1.1121E+00,1.0245E+00
799.0,1.1350E+00,1.0905E+00,1.0048E+00
800.0,1.1248E+00,1.0725E+00,9.8859E-01
801.0,1.1427E+00,1.0843E+00,9.9978E-01
802.0,1.1422E+00,1.0856E+00,1.0011E+00
803.0,1.1241E+00,1.0657E+00,9.8288E-01
804.0,1.1342E+00,1.0782E+00,9.9452E-01
805.0,1.1001E+00,1.0545E+00,9.7270E-01
806.0,1.1309E+00,1.0974E+00,1.0122E+00
807.0,1.1230E+00,1.0859E+00,1.0018E+00
808.0,1.1162E+00,1.0821E+00,9.9844E-01
809.0,1.0980E+00,1.0548E+00,9.7353E-01
810.0,1.1100E+00,1.0559E+00,9.7488E-01
811.0,1.1143E+00,1.0533E+00,9.7273E-01
812.0,1.1160E+00,1.0268E+00,9.4882E-01
813.0,1.1180E+00,1.0086E+00,9.3236E-01
814.0,1.1174E+00,9.0356E-01,8.3681E-01
815.0,1.1091E+00,8.9523E-01,8.2927E-01
816.0,1.1050E+00,8.3216E-01,7.7171E-01
817.0,1.1083E+00,8.5183E-01,7.8984E-01
818.0,1.0861E+00,8.2259E-01,7.6299E-01
819.0,1.0738E+00,9.0519E-01,8.3844E-01
820.0,1.0740E+00,8.6188E-01,7.9899E-01
821.0,1.0760E+00,9.9764E-01,9.2292E-01
822.0,1.0560E+00,9.5157E-01,8.8081E-01
823.0,1.0760E+00,6.7271E-01,6.2576E-01
824.0,1.0715E+00,9.3506E-01,8.6619E-01
825.0,1.0699E+00,9.6935E-01,8.9752E-01
826.0,1.0759E+00,9.3381E-01,8.6530E-01
827.0,1.0762E+00,9.8465E-01,9.1178E-01
828.0,1.0749E+00,8.4979E-01,7.8870E-01
829.0,1.0620E+00,9.2930E-01,8.6135E-01
830.0,1.0563E+00,9.1601E-01,8.4930E-01
831.0,1.0560E+00,9.2392E-01,8.5666E-01
832.0,1.0550E+00,8.9426E-01,8.2961E-01
833.0,1.0327E+00,9.5650E-01,8.8622E-01
834.0,1.0459E+00,9.3412E-01,8.6608E-01
835.0,1.0476E+00,1.0032E+00,9.2917E-01
836.0,1.0597E+00,9.7234E-01,9.0135E-01
837.0,1.0511E+00,1.0092E+00,9.3493E-01
838.0,1.0549E+00,9.9901E-01,9.2585E-01
839.0,1.0400E+00,1.0013E+00,9.2783E-01
840.0,1.0500E+00,1.0157E+00,9.4124E-01
841.0,1.0520E+00,1.0101E+00,9.3626E-01
842.0,1.0287E+00,9.9703E-01,9.2411E-01
843.0,1.0271E+00,1.0053E+00,9.3171E-01
844.0,1.0140E+00,9.8631E-01,9.1434E-01
845.0,1.0360E+00,1.0165E+00,9.4226E-01
846.0,1.0370E+00,1.0187E+00,9.4447E-01
847.0,1.0060E+00,9.9170E-01,9.1947E-01
848.0,1.0110E+00,9.9217E-01,9.2010E-01
849.0,1.0050E+00,9.8596E-01,9.1447E-01
850.0,9.1000E-01,8.9372E-01,8.2900E-01
851.0,9.9800E-01,9.7493E-01,9.0454E-01
852.0,9.9000E-01,9.6927E-01,8.9942E-01
853.0,9.8100E-01,9.6486E-01,8.9540E-01
854.0,8.6900E-01,8.5112E-01,7.9000E-01
855.0,9.2700E-01,9.1300E-01,8.4746E-01
856.0,9.9017E-01,9.7317E-01,9.0343E-01
857.0,1.0056E+00,9.9166E-01,9.2059E-01
858.0,1.0070E+00,9.9196E-01,9.2094E-01
859.0,1.0050E+00,9.9171E-01,9.2081E-01
860.0,1.0000E+00,9.8816E-01,9.1764E-01
861.0,9.9900E-01,9.8679E-01,9.1648E-01
862.0,1.0060E+00,9.9449E-01,9.2367E-01
863.0,1.0120E+00,1.0005E+00,9.2934E-01
864.0,9.9006E-01,9.7916E-01,9.0956E-01
865.0,9.7354E-01,9.6324E-01,8.9487E-01
866.0,8.5800E-01,8.4900E-01,7.8882E-01
867.0,9.2500E-01,9.1546E-01,8.5066E-01
868.0,9.6900E-01,9.5920E-01,8.9140E-01
869.0,9.5900E-01,9.4956E-01,8.8252E-01
870.0,9.7700E-01,9.6755E-01,8.9933E-01
871.0,9.6317E-01,9.5387E-01,8.8671E-01
872.0,9.7600E-01,9.6686E-01,8.9887E-01
873.0,9.6614E-01,9.5721E-01,8.8999E-01
874.0,9.4913E-01,9.4042E-01,8.7451E-01
875.0,9.3562E-01,9.2687E-01,8.6204E-01
876.0,9.6200E-01,9.5277E-01,8.8625E-01
877.0,9.6500E-01,9.5615E-01,8.8948E-01
878.0,9.6200E-01,9.5237E-01,8.8607E-01
879.0,9.4571E-01,9.3656E-01,8.7144E-01
880.0,9.4856E-01,9.3957E-01,8.7434E-01
881.0,9.1963E-01,9.0861E-01,8.4563E-01
882.0,9.4408E-01,9.3245E-01,8.6787E-01
883.0,9.3930E-01,9.2927E-01,8.6494E-01
884.0,9.4352E-01,9.3305E-01,8.6859E-01
885.0,9.5469E-01,9.4423E-01,8.7913E-01
886.0,9.2558E-01,9.0752E-01,8.4515E-01
887.0,9.2300E-01,9.1062E-01,8.4799E-01
888.0,9.4066E-01,9.2228E-01,8.5899E-01
889.0,9.4367E-01,9.3455E-01,8.7041E-01
890.0,9.4236E-01,9.2393E-01,8.6078E-01
891.0,9.3928E-01,9.2584E-01,8.6255E-01
892.0,9.3259E-01,9.0881E-01,8.4688E-01
893.0,9.1800E-01,8.7327E-01,8.1412E-01
894.0,9.2400E-01,8.5130E-01,7.9413E-01
895.0,9.2600E-01,8.1357E-01,7.5956E-01
896.0,9.3425E-01,7.6253E-01,7.1265E-01
897.0,9.2686E-01,6.6566E-01,6.2310E-01
898.0,9.2378E-01,7.1780E-01,6.7137E-01
899.0,9.1396E-01,5.4871E-01,5.1461E-01
900.0,9.1378E-01,7.4260E-01,6.9429E-01
901.0,8.9834E-01,5.9933E-01,5.6162E-01
902.0,8.7720E-01,6.6791E-01,6.2500E-01
903.0,9.2233E-01,6.8889E-01,6.4483E-01
904.0,9.2100E-01,8.4457E-01,7.8862E-01
905.0,9.1800E-01,8.1709E-01,7.6337E-01
906.0,9.0780E-01,7.7558E-01,7.2502E-01
907.0,9.1450E-01,6.3854E-01,5.9833E-01
908.0,9.0143E-01,6.5217E-01,6.1091E-01
909.0,8.8552E-01,7.0431E-01,6.5912E-01
910.0,8.9496E-01,6.2467E-01,5.8553E-01
911.0,8.9730E-01,6.6808E-01,6.2580E-01
912.0,8.9016E-01,6.8893E-01,6.4508E-01
913.0,9.0020E-01,6.2834E-01,5.8906E-01
914.0,8.9820E-01,6.2649E-01,5.8740E-01
915.0,8.8830E-01,6.7836E-01,6.3550E-01
916.0,8.9470E-01,5.7646E-01,5.4099E-01
917.0,8.8860E-01,7.3017E-01,6.8350E-01
918.0,8.8810E-01,5.9271E-01,5.5612E-01
919.0,8.9210E-01,7.3877E-01,6.9161E-01
920.0,8.8540E-01,7.4414E-01,6.9657E-01
921.0,8.7030E-01,7.8049E-01,7.3004E-01
922.0,8.6280E-01,7.0026E-01,6.5584E-01
923.0,8.3335E-01,7.4504E-01,6.9698E-01
924.0,8.6957E-01,7.2150E-01,6.7571E-01
925.0,8.7642E-01,7.1110E-01,6.6621E-01
926.0,8.4561E-01,7.0331E-01,6.5875E-01
927.0,8.7809E-01,7.8742E-01,7.3684E-01
928.0,8.7110E-01,5.8968E-01,5.5363E-01
929.0,8.6954E-01,5.5127E-01,5.1792E-01
930.0,8.6866E-01,4.3210E-01,4.0679E-01
931.0,8.7078E-01,4.0921E-01,3.8540E-01
932.0,8.6514E-01,3.0086E-01,2.8386E-01
933.0,8.6958E-01,2.4841E-01,2.3459E-01
934.0,8.6709E-01,1.4380E-01,1.3604E-01
935.0,8.5601E-01,2.5084E-01,2.3690E-01
936.0,8.5222E-01,1.6142E-01,1.5267E-01
937.0,8.5368E-01,1.6338E-01,1.5453E-01
938.0,8.5936E-01,2.0058E-01,1.8962E-01
939.0,8.5676E-01,3.9887E-01,3.7591E-01
940.0,8.4000E-01,4.7181E-01,4.4411E-01
941.0,8.3153E-01,3.7195E-01,3.5071E-01
942.0,8.0616E-01,4.0532E-01,3.8192E-01
943.0,8.3814E-01,2.7834E-01,2.6289E-01
944.0,8.1854E-01,2.8579E-01,2.6987E-01
945.0,8.2441E-01,3.6821E-01,3.4729E-01
946.0,8.3138E-01,1.9461E-01,1.8409E-01
947.0,8.2809E-01,3.7112E-01,3.5010E-01
948.0,8.3137E-01,2.7423E-01,2.5911E-01
949.0,8.3303E-01,4.9396E-01,4.6514E-01
950.0,8.2867E-01,1.4726E-01,1.3944E-01
951.0,8.2019E-01,4.8378E-01,4.5563E-01
952.0,8.2402E-01,2.6891E-01,2.5418E-01
953.0,8.2050E-01,3.4362E-01,3.2442E-01
954.0,8.1200E-01,4.2411E-01,3.9988E-01
955.0,7.6900E-01,3.4117E-01,3.2204E-01
956.0,8.0200E-01,3.2821E-01,3.0996E-01
957.0,8.0583E-01,2.7067E-01,2.5591E-01
958.0,8.1147E-01,4.6101E-01,4.3453E-01
959.0,8.1483E-01,3.7385E-01,3.5294E-01
960.0,8.0627E-01,4.2066E-01,3.9685E-01
961.0,7.9982E-01,4.6120E-01,4.3481E-01
962.0,8.0173E-01,4.4174E-01,4.1664E-01
963.0,7.9761E-01,5.0503E-01,4.7585E-01
964.0,7.8808E-01,4.5860E-01,4.3242E-01
965.0,7.9579E-01,5.0374E-01,4.7469E-01
966.0,7.8598E-01,5.0275E-01,4.7377E-01
967.0,7.9503E-01,5.0240E-01,4.7353E-01
968.0,7.8526E-01,6.5210E-01,6.1301E-01
969.0,7.8789E-01,6.8622E-01,6.4480E-01
970.0,7.9140E-01,6.3461E-01,5.9689E-01
971.0,7.8186E-01,7.1397E-01,6.7059E-01
972.0,7.8785E-01,6.8765E-01,6.4629E-01
973.0,7.8149E-01,6.0648E-01,5.7081E-01
974.0,7.6882E-01,5.7529E-01,5.4170E-01
975.0,7.7348E-01,5.8987E-01,5.5536E-01
976.0,7.8054E-01,5.7191E-01,5.3872E-01
977.0,7.7208E-01,6.3864E-01,6.0084E-01
978.0,7.7800E-01,6.1509E-01,5.7903E-01
979.0,7.6650E-01,6.3815E-01,6.0046E-01
980.0,7.7512E-01,6.0468E-01,5.6941E-01
981.0,7.7300E-01,7.1338E-01,6.7058E-01
982.0,7.7879E-01,6.9218E-01,6.5102E-01
983.0,7.7541E-01,6.6865E-01,6.2915E-01
984.0,7.6881E-01,7.3732E-01,6.9290E-01
985.0,7.7081E-01,6.8817E-01,6.4734E-01
986.0,7.6620E-01,7.5083E-01,7.0553E-01
987.0,7.6606E-01,7.3928E-01,6.9489E-01
988.0,7.6368E-01,7.3462E-01,6.9059E-01
989.0,7.5500E-01,7.4906E-01,7.0391E-01
990.0,7.5694E-01,7.3227E-01,6.8843E-01
991.0,7.6161E-01,7.5358E-01,7.0833E-01
992.0,7.5714E-01,7.5102E-01,7.0597E-01
993.0,7.5639E-01,7.3728E-01,6.9325E-01
994.0,7.5851E-01,7.5410E-01,7.0891E-01
995.0,7.5392E-01,7.5176E-01,7.0673E-01
996.0,7.5347E-01,7.4884E-01,7.0409E-01
997.0,7.4300E-01,7.3971E-01,6.9555E-01
998.0,7.4300E-01,7.3887E-01,6.9481E-01
999.0,7.4200E-01,7.3857E-01,6.9455E-01
1000.0,7.4255E-01,7.3532E-01,6.9159E-01
1001.0,7.4741E-01,7.4442E-01,7.0013E-01
1002.0,7.4677E-01,7.2805E-01,6.8498E-01
1003.0,7.3836E-01,7.3442E-01,6.9086E-01
1004.0,7.3133E-01,7.2336E-01,6.8056E-01
1005.0,6.8365E-01,6.8174E-01,6.4140E-01
1006.0,7.1770E-01,7.1252E-01,6.7047E-01
1007.0,7.3093E-01,7.2753E-01,6.8463E-01
1008.0,7.3339E-01,7.2685E-01,6.8407E-01
1009.0,7.2934E-01,7.1972E-01,6.7742E-01
1010.0,7.3055E-01,7.1914E-01,6.7695E-01
1011.0,7.2562E-01,7.2278E-01,6.8034E-01
1012.0,7.2496E-01,7.1877E-01,6.7667E-01
1013.0,7.1960E-01,7.1761E-01,6.7556E-01
1014.0,7.2265E-01,7.2068E-01,6.7848E-01
1015.0,7.1062E-01,7.0817E-01,6.6676E-01
1016.0,7.1419E-01,7.1129E-01,6.6976E-01
1017.0,7.0659E-01,7.0337E-01,6.6237E-01
1018.0,7.1566E-01,7.1422E-01,6.7263E-01
1019.0,6.9606E-01,6.8878E-01,6.4880E-01
1020.0,7.0127E-01,6.9896E-01,6.5839E-01
1021.0,7.0300E-01,7.0175E-01,6.6107E-01
1022.0,6.9300E-01,6.8970E-01,6.4980E-01
1023.0,6.9900E-01,6.9508E-01,6.5490E-01
1024.0,7.0057E-01,6.9058E-01,6.5077E-01
1025.0,6.9918E-01,6.9753E-01,6.5727E-01
1026.0,6.9943E-01,6.9636E-01,6.5625E-01
1027.0,6.9594E-01,6.9305E-01,6.5318E-01
1028.0,6.9722E-01,6.9385E-01,6.5398E-01
1029.0,6.9000E-01,6.8628E-01,6.4687E-01
1030.0,6.9208E-01,6.9055E-01,6.5092E-01
1031.0,6.8985E-01,6.8736E-01,6.4799E-01
1032.0,6.8960E-01,6.8787E-01,6.4852E-01
1033.0,6.7800E-01,6.7613E-01,6.3751E-01
1034.0,6.8181E-01,6.8015E-01,6.4136E-01
1035.0,6.8400E-01,6.8234E-01,6.4348E-01
1036.0,6.8431E-01,6.8202E-01,6.4323E-01
1037.0,6.7731E-01,6.7497E-01,6.3664E-01
1038.0,6.7400E-01,6.7172E-01,6.3361E-01
1039.0,6.7900E-01,6.7636E-01,6.3802E-01
1040.0,6.7440E-01,6.7170E-01,6.3366E-01
1041.0,6.7490E-01,6.7176E-01,6.3379E-01
1042.0,6.7516E-01,6.7200E-01,6.3406E-01
1043.0,6.6860E-01,6.6525E-01,6.2773E-01
1044.0,6.7199E-01,6.6833E-01,6.3067E-01
1045.0,6.6846E-01,6.6452E-01,6.2712E-01
1046.0,6.5131E-01,6.4714E-01,6.1078E-01
1047.0,6.6155E-01,6.5694E-01,6.2008E-01
1048.0,6.6781E-01,6.6274E-01,6.2559E-01
1049.0,6.6491E-01,6.5896E-01,6.2206E-01
1050.0,6.6117E-01,6.5463E-01,6.1802E-01
1051.0,6.6182E-01,6.5521E-01,6.1862E-01
1052.0,6.5848E-01,6.5118E-01,6.1487E-01
1053.0,6.5698E-01,6.4919E-01,6.1302E-01
1054.0,6.5474E-01,6.4646E-01,6.1048E-01
1055.0,6.5753E-01,6.4847E-01,6.1242E-01
1056.0,6.5629E-01,6.4641E-01,6.1055E-01
1057.0,6.5540E-01,6.4482E-01,6.0910E-01
1058.0,6.4937E-01,6.3818E-01,6.0286E-01
1059.0,6.3046E-01,6.1875E-01,5.8453E-01
1060.0,6.4831E-01,6.3585E-01,6.0073E-01
1061.0,6.3387E-01,6.2121E-01,5.8694E-01
1062.0,6.4651E-01,6.3266E-01,5.9782E-01
1063.0,6.3669E-01,6.2239E-01,5.8815E-01
1064.0,6.4621E-01,6.3196E-01,5.9722E-01
1065.0,6.4533E-01,6.2913E-01,5.9461E-01
1066.0,6.3139E-01,6.1713E-01,5.8330E-01
1067.0,6.3517E-01,6.2032E-01,5.8637E-01
1068.0,6.3591E-01,6.1944E-01,5.8561E-01
1069.0,6.0084E-01,5.8626E-01,5.5428E-01
1070.0,6.2165E-01,6.0469E-01,5.7178E-01
1071.0,6.2821E-01,6.1661E-01,5.8304E-01
1072.0,6.3131E-01,6.1536E-01,5.8194E-01
1073.0,6.1796E-01,6.0363E-01,5.7086E-01
1074.0,6.3063E-01,6.2158E-01,5.8780E-01
1075.0,6.1768E-01,5.9252E-01,5.6054E-01
1076.0,6.2468E-01,6.1471E-01,5.8141E-01
1077.0,6.2426E-01,6.0434E-01,5.7175E-01
1078.0,6.2531E-01,6.0321E-01,5.7076E-01
1079.0,6.1203E-01,6.0474E-01,5.7210E-01
1080.0,6.2250E-01,5.9722E-01,5.6519E-01
1081.0,6.0726E-01,5.8083E-01,5.4973E-01
1082.0,6.0249E-01,5.8940E-01,5.5773E-01
1083.0,6.0900E-01,5.9814E-01,5.6603E-01
1084.0,6.1392E-01,5.7852E-01,5.4775E-01
1085.0,6.1181E-01,5.9330E-01,5.6163E-01
1086.0,6.1570E-01,5.5410E-01,5.2496E-01
1087.0,5.9145E-01,5.6697E-01,5.3685E-01
1088.0,6.0728E-01,5.9317E-01,5.6159E-01
1089.0,6.0908E-01,5.7919E-01,5.4856E-01
1090.0,6.0442E-01,5.5573E-01,5.2656E-01
1091.0,6.0799E-01,5.8835E-01,5.5722E-01
1092.0,5.9692E-01,5.8124E-01,5.5048E-01
1093.0,5.9221E-01,5.1058E-01,4.8417E-01
1094.0,5.6065E-01,5.3965E-01,5.1120E-01
1095.0,5.8252E-01,5.2067E-01,4.9363E-01
1096.0,5.8600E-01,5.0323E-01,4.7731E-01
1097.0,5.9100E-01,5.7852E-01,5.4805E-01
1098.0,5.8700E-01,5.0291E-01,4.7709E-01
1099.0,5.8216E-01,5.0772E-01,4.8161E-01
1100.0,6.0000E-01,4.8577E-01,4.6113E-01
1101.0,5.9900E-01,4.9696E-01,4.7169E-01
1102.0,5.8202E-01,4.6883E-01,4.4513E-01
1103.0,5.9500E-01,4.6637E-01,4.4291E-01
1104.0,5.9300E-01,4.6765E-01,4.4412E-01
1105.0,5.9100E-01,5.0644E-01,4.8065E-01
1106.0,5.9000E-01,3.9792E-01,3.7840E-01
1107.0,5.8600E-01,4.8304E-01,4.5866E-01
1108.0,5.8650E-01,4.1565E-01,3.9517E-01
1109.0,5.8550E-01,4.1278E-01,3.9249E-01
1110.0,5.8700E-01,4.7899E-01,4.5496E-01
1111.0,5.8250E-01,3.3154E-01,3.1572E-01
1112.0,5.8342E-01,4.1357E-01,3.9330E-01
1113.0,5.7800E-01,2.6850E-01,2.5599E-01
1114.0,5.8400E-01,2.9985E-01,2.8576E-01
1115.0,5.8200E-01,2.4987E-01,2.3833E-01
1116.0,5.7500E-01,2.0136E-01,1.9223E-01
1117.0,5.8300E-01,7.9618E-02,7.6164E-02
1118.0,5.7222E-01,2.1753E-01,2.0763E-01
1119.0,5.7151E-01,1.1317E-01,1.0821E-01
1120.0,5.6850E-01,1.4189E-01,1.3562E-01
1121.0,5.7200E-01,1.8586E-01,1.7753E-01
1122.0,5.7500E-01,8.1686E-02,7.8159E-02
1123.0,5.7400E-01,1.2817E-01,1.2255E-01
1124.0,5.7250E-01,1.0870E-01,1.0397E-01
1125.0,5.7012E-01,1.4428E-01,1.3794E-01
1126.0,5.5300E-01,5.1589E-02,4.9394E-02
1127.0,5.6179E-01,1.5725E-01,1.5032E-01
1128.0,5.6829E-01,9.9224E-02,9.4946E-02
1129.0,5.6837E-01,1.0591E-01,1.0133E-01
1130.0,5.6401E-01,7.0574E-02,6.7568E-02
1131.0,5.6800E-01,2.9560E-01,2.8201E-01
1132.0,5.7000E-01,2.3411E-01,2.2359E-01
1133.0,5.6186E-01,1.5331E-01,1.4661E-01
1134.0,5.6346E-01,4.1740E-02,3.9988E-02
1135.0,5.6250E-01,1.5462E-02,1.4819E-02
1136.0,5.6481E-01,1.2876E-01,1.2320E-01
1137.0,5.5197E-01,2.8785E-01,2.7472E-01
1138.0,5.4400E-01,2.0329E-01,1.9428E-01
1139.0,5.5300E-01,2.9850E-01,2.8484E-01
1140.0,5.5573E-01,2.5599E-01,2.4447E-01
1141.0,5.4303E-01,1.9337E-01,1.8486E-01
1142.0,5.5531E-01,2.2479E-01,2.1481E-01
1143.0,5.4960E-01,3.1183E-01,2.9758E-01
